#,Name,length,height,wingspan
140,Luguentz DortOKC | SG,5.75,"6'2.75""","6'8.5"""
141,Nerlens NoelNYK | C,5.75,"6'10""","7'3.75"""
142,Steven AdamsMEM | C,5.75,"6'10.75""","7'4.5"""
143,Terence DavisSAC | SG,5.75,"6'3""","6'8.75"""
144,Thaddeus YoungSAS | PF,5.75,"6'5.75""","6'11.5"""
145,Trey BurkeDAL | PG,5.75,"5'11.75""","6'5.5"""
146,Charles BasseyPHI | C,5.75,"6'9.25""","7'3"""
147,Bogdan BogdanovicATL | SG,5.5,"6'5.5""","6'11"""
148,Brook LopezMIL | C,5.5,"6'11.5""","7'5"""
149,Buddy HieldSAC | SG,5.5,"6'3.75""","6'9.25"""
150,Cody MartinCHA | SF,5.5,"6'4.75""","6'10.25"""
151,Damian JonesSAC | C,5.5,"6'10.25""","7'3.75"""
152,Elfrid PaytonPHX | PG,5.5,"6'2.5""","6'8"""
153,Frank JacksonDET | PG,5.5,"6'2""","6'7.5"""
154,Ish SmithCHA | PG,5.5,"5'11.5""","6'5"""
155,James WisemanGSW | C,5.5,"6'11.5""","7'5"""
156,Jordan McLaughlinMIN | PG,5.5,"5'11""","6'4.5"""
157,Tony SnellPOR | SG,5.5,"6'6""","6'11.5"""
158,Jason PrestonLAC | PG,5.5,"6'3""","6'8.5"""
159,Avery BradleyGSW | SG,5.25,"6'2""","6'7.25"""
160,Dorian Finney-SmithDAL | SF,5.25,"6'6.5""","6'11.75"""
161,Jaxson HayesNOP | C,5.25,"6'10.25""","7'3.5"""
162,Joel EmbiidPHI | C,5.25,"6'11.75""","7'5"""
163,Josh GreenDAL | SG,5.25,"6'4.5""","6'9.75"""
164,Nickeil Alexander-WalkerNOP | SG,5.25,"6'4.25""","6'9.5"""
165,Obi ToppinNYK | PF,5.25,"6'8.75""","7'2"""
166,Precious AchiuwaTOR | PF,5.25,"6'7.5""","7'0.75"""
167,Richaun HolmesSAC | C,5.25,"6'8.25""","7'1.5"""
168,Russell WestbrookLAL | PG,5.25,"6'2.75""","6'8"""
169,Tristan ThompsonSAC | C,5.25,"6'8""","7'1.25"""
170,Joshua PrimoSAS | SG,5.25,"6'4""","6'9.25"""
171,Joe WieskampSAS | SF,5.25,"6'5.75""","6'11"""
172,Aaron NesmithBOS | SF,5,"6'5""","6'10"""
173,Alec BurksNYK | SG,5,"6'5""","6'10"""
174,Andrew WigginsGSW | SF,5,"6'7""","7'0"""
175,Chuma OkekeORL | PF,5,"6'7""","7'0"""
176,D.J. AugustinHOU | PG,5,"5'10.5""","6'3.5"""
177,Daniel GaffordWAS | C,5,"6'9.25""","7'2.25"""
178,DeAndre' BembryBKN | SF,5,"6'4.25""","6'9.25"""
179,Devin VassellSAS | SG,5,"6'5""","6'10"""
180,Jalen SmithPHX | PF,5,"6'9.25""","7'2.25"""
181,Josh RichardsonBOS | SF,5,"6'5""","6'10"""
182,Kevin Porter Jr.HOU | SG,5,"6'4""","6'9"""
183,RJ BarrettNYK | SF,5,"6'5""","6'10"""
184,Royce O'NealeUTA | SF,5,"6'4""","6'9"""
185,Taurean PrinceMIN | SF,5,"6'6.5""","6'11.5"""
